______________________________
|          t |            Vy |
|   0.698257 |  2.902681e-06 |
|   0.699307 | -1.443668e-05 |
|   0.700357 | -7.893943e-06 |
|   0.701407 |  2.617880e-06 |
|   0.702457 | -7.866842e-06 |
|   0.703507 |  1.764471e-06 |
|   0.704557 | -1.199060e-06 |
|   0.705607 | -2.363080e-06 |
|   0.706657 |  1.040263e-06 |
|   0.707707 |  6.842785e-06 |
|   0.708757 | -1.229511e-05 |
|   0.709807 |  1.064217e-05 |
|   0.710857 | -6.107216e-06 |
|   0.711907 |  5.172084e-06 |
|   0.712957 | -3.296748e-05 |
|   0.714007 |  7.757711e-07 |
|   0.715057 |  1.897364e-05 |
|   0.716107 |  4.282336e-06 |
|   0.717157 |  2.502401e-06 |
|   0.718207 |  1.950327e-06 |
|   0.719257 |  3.734024e-06 |
|   0.720307 | -1.637418e-05 |
|   0.721357 |  2.791987e-05 |
|   0.722407 |  1.163996e-05 |
|   0.723457 |  2.253071e-05 |
|   0.724507 |  2.059668e-06 |
|   0.725557 |  7.532629e-06 |
|   0.726607 |  2.072779e-05 |
|   0.727657 |  1.028458e-05 |
|   0.728707 | -5.997887e-06 |
|   0.729757 |  1.441431e-05 |
|   0.730807 |  6.954892e-06 |
|   0.731857 |  1.170402e-05 |
|   0.732907 |  5.592989e-06 |
|   0.733957 | -9.413843e-06 |
|   0.735007 |  1.788461e-06 |
|   0.736057 |  7.590810e-06 |
|   0.737107 | -1.163062e-05 |
|   0.738157 | -5.303953e-06 |
|   0.739207 |  2.738252e-07 |
|   0.740257 |  9.426497e-06 |
|   0.741307 | -8.265232e-06 |
|   0.742357 | -2.161475e-07 |
|   0.743407 |  3.262570e-06 |
|   0.744457 |  5.242798e-06 |
|   0.745507 |  2.380618e-05 |
|   0.746557 | -2.846059e-05 |
|   0.747607 |  1.585647e-05 |
|   0.748657 |  1.631138e-05 |
|   0.749707 | -1.439350e-05 |
|   0.750758 | -3.708715e-07 |
|   0.751808 | -1.649554e-05 |
|   0.752858 |  5.561287e-06 |
|   0.753908 | -5.062688e-06 |
|   0.754958 | -1.410841e-05 |
|   0.756008 | -4.530785e-06 |
|   0.757058 | -2.336498e-06 |
|   0.758108 |  3.862877e-06 |
|   0.759158 |  1.545824e-05 |
|   0.760208 |  5.867111e-06 |
|   0.761258 |  2.583136e-05 |
|   0.762308 | -2.288073e-06 |
|   0.763358 |  2.003163e-05 |
|   0.764408 | -1.664823e-06 |
|   0.765458 | -2.986324e-06 |
|   0.766508 |  5.695361e-06 |
|   0.767558 | -2.207572e-05 |
